image,label
10296,6
10297,3
10298,6
10301,4
10302,1
10303,1
10305,5
10306,5
10307,3
10308,5
10309,3
10310,6
10311,1
10312,3
10313,1
10314,1
10315,4
10316,3
10317,3
10318,4
10319,3
10320,1
10321,3
10322,4
10324,4
10325,6
10326,3
10327,3
10329,4
10330,4
10331,5
10332,1
10333,3
10334,4
10335,2
10336,5
10337,1
10338,3
10339,3
10340,4
10341,1
10342,3
10343,6
10344,3
10346,4
10347,1
10349,3
10350,3
10351,3
10352,3
10353,3
10354,3
10355,5
10356,3
10357,1
10358,6
10359,3
10360,4
10361,1
10362,3
10363,4
10364,1
10366,3
10367,1
10368,1
10370,1
10371,3
10372,3
10373,5
10374,6
10375,3
10376,1
10377,3
10378,4
10379,5
10380,6
10381,3
10382,3
10383,6
10384,5
10385,3
10386,3
10387,1
10388,3
10389,4
10390,3
10391,2
10392,4
10393,3
10394,4
10395,1
10396,6
10397,6
10398,6
10399,3
10400,3
10401,3
10402,5
10403,3
10404,3
10405,6
10406,1
10407,1
10408,1
10409,2
10410,3
10411,1
10412,1
10413,3
10414,1
10415,3
10416,6
10417,3
10420,1
10422,6
10423,6
10424,3
10425,4
10426,4
10427,6
10428,1
10429,4
10430,3
10431,6
10432,4
10433,3
10434,5
10435,3
10436,4
10437,2
10438,6
10439,1
10440,6
10441,5
10443,5
10444,4
10445,6
10446,3
10447,3
10448,3
10449,3
10450,3
10451,6
10452,3
10453,3
10454,1
10455,3
10456,1
10457,4
10458,3
10459,3
10460,5
10461,3
10463,6
10464,2
10465,3
10466,1
10467,3
10468,1
10469,6
10470,1
10471,6
10472,6
10473,6
10474,3
10475,6
10476,2
10477,6
10479,3
10481,3
10482,6
10483,1
10484,5
10485,3
10486,3
10487,2
10488,6
10489,2
10490,4
10491,3
10492,5
10493,4
10494,1
10495,4
10497,6
10498,6
10499,4
10500,1
10501,3
10502,3
10503,6
10504,6
10506,3
10507,1
10508,3
10509,3
10510,1
10511,3
10512,3
10514,2
10515,1
10516,5
10517,3
10518,3
10520,6
10521,1
10522,1
10524,4
10526,3
10527,6
10528,3
10529,6
10530,3
10531,6
10532,6
10533,4
10534,4
10535,3
10536,6
10537,3
10538,3
10539,3
10541,6
10542,3
10543,5
10544,5
10545,4
10547,1
10548,4
10550,4
10551,1
10552,3
10553,4
10554,3
10555,3
10556,6
10557,6
10558,5
10559,1
10560,1
10561,3
10562,5
10563,3
10564,3
10565,3
10566,3
10567,4
10568,4
10569,6
10570,3
10571,4
10572,3
10573,3
10574,6
10575,1
10576,3
10577,3
10578,5
10579,5
10580,1
10581,3
10582,4
10583,3
10584,6
10585,6
10586,3
10587,3
10588,5
10589,3
10590,6
10591,1
10592,4
10593,4
10594,5
10595,1
10596,3
10597,3
10598,4
10599,1
10600,6
10602,4
10603,5
10604,5
10605,3
10606,3
10607,6
10608,3
10609,4
10610,2
10611,1
10613,1
10614,6
10615,6
10616,1
10617,6
10618,4
10619,4
10620,4
10621,6
10622,3
10623,3
10624,5
10625,4
10626,5
10627,5
10628,1
10629,4
10630,6
10631,3
10632,3
10633,6
10634,3
10636,3
10637,3
10638,1
10639,3
10640,1
10641,1
10642,1
10643,3
10644,3
10645,4
10646,3
10647,3
10648,4
10650,2
10651,4
10654,3
10655,3
10656,3
10657,4
10658,6
10659,5
10660,5
10661,5
10662,4
10663,3
10664,6
10665,1
10666,1
10667,4
10668,3
10669,5
10670,6
10671,2
10672,4
10673,5
10674,3
10675,3
10676,2
10678,3
10679,4
10680,6
10681,4
10683,4
10684,4
10685,2
10686,1
10687,3
10688,1
10689,2
10690,3
10691,4
10692,4
10694,6
10695,6
10696,5
10697,3
10698,4
10699,5
10700,3
10701,3
10702,3
10703,4
10704,3
10705,3
10707,3
10708,3
10709,4
10710,4
10711,6
10712,4
10713,6
10714,3
10715,5
10716,3
10717,1
10718,4
10719,1
10720,1
10722,1
10723,3
10724,3
10725,6
10726,6
10727,1
10728,6
10729,4
10730,1
10731,3
10732,3
10734,2
10735,3
10736,4
10737,3
10739,1
10740,6
10741,3
10742,4
10743,3
10744,1
10745,4
10746,3
10747,1
10748,3
10749,2
10750,4
10751,2
10752,3
10753,3
10754,3
10755,4
10756,4
10757,6
10758,3
10759,6
10760,3
10761,1
10762,1
10763,2
10765,2
10766,3
10767,3
10768,6
10769,3
10770,3
10771,3
10772,3
10773,4
10774,3
10775,5
10776,5
10777,5
10778,6
10779,2
10780,6
10781,6
10782,3
10783,3
10784,5
10785,2
10786,3
10787,6
10788,3
10789,4
10790,3
10791,1
10792,3
10793,3
10794,3
10795,3
10796,5
10797,1
10798,1
10799,3
10800,1
10801,3
10802,4
10803,4
10804,4
10805,2
10806,3
10807,4
10808,6
10809,2
10810,3
10811,4
10812,2
10814,6
10815,6
10816,3
10818,3
10819,2
10820,2
10821,6
10822,4
10823,3
10824,6
10825,1
10827,3
10829,1
10830,1
10831,3
10832,6
10833,3
10835,3
10836,5
10837,3
10838,3
10839,1
10840,3
10841,3
10842,4
10843,5
10844,2
10845,5
10846,6
10848,4
10849,1
10852,4
10853,3
10854,1
10855,6
10856,3
10857,2
10859,3
10860,6
10861,4
10863,4
10865,1
10866,4
10867,5
10868,3
10869,4
10870,5
10871,4
10872,1
10873,3
10874,1
10875,2
10876,6
10877,6
10878,6
10881,6
10883,1
10884,3
10885,2
10886,6
10887,1
10888,4
10889,6
10890,3
10891,1
10892,1
10893,5
10894,6
10895,3
10896,4
10897,3
10898,1
10899,3
10900,3
10901,3
10902,3
10903,3
10904,1
10905,3
10906,3
10907,3
10909,6
10910,3
10911,3
10912,5
10913,4
10914,1
10915,3
10916,6
10917,3
10918,4
10919,3
10920,4
10921,4
10923,6
10924,3
10926,4
10928,3
10929,6
10930,3
10931,3
10932,3
10933,2
10934,4
10935,1
10936,4
10937,3
10938,3
10939,1
10940,5
10941,1
10942,6
10943,3
10944,4
10946,3
10947,1
10948,3
10949,1
10951,4
10952,4
10953,4
10954,1
10955,3
10956,3
10957,4
10958,4
10959,3
10960,3
10961,6
10962,4
10963,6
10964,3
10965,3
10966,6
10967,6
10968,6
10969,3
10971,3
10972,1
10973,4
10974,1
10975,3
10976,3
10977,5
10978,6
10979,6
10980,4
10981,6
10982,5
10984,3
10985,1
10986,4
10987,4
10988,5
10989,1
10990,4
10992,4
10993,4
10994,1
10995,1
10996,1
10998,2
10999,3
11000,3
11001,6
11002,1
11004,3
11005,4
11006,5
11007,3
11008,3
11009,5
11010,3
11011,3
11012,5
11013,4
11014,3
11015,5
11016,3
11017,1
11018,3
11019,3
11020,3
11021,4
11022,4
11023,4
11024,4
11025,1
11026,3
11027,2
11028,6
11029,3
11030,3
11031,6
11032,4
11033,2
11034,4
11035,3
11036,3
11037,6
11038,3
11039,1
11041,3
11042,1
11043,1
11044,3
11046,6
11047,3
11048,1
11049,1
11051,1
11052,6
11053,3
11054,2
11055,5
11056,3
11057,3
11059,3
11060,3
11061,2
11062,4
11063,5
11064,1
11065,1
11066,4
11067,1
11068,3
11069,6
11070,3
11071,3
11072,3
11073,4
11074,3
11075,1
11076,3
11077,6
11078,3
11079,4
11080,1
11081,1
11082,6
11083,3
11084,3
11085,5
11086,5
11088,6
11089,4
11090,4
11091,1
11092,5
11093,3
11094,3
11095,3
11096,2
11097,4
11098,4
11099,6
11100,3
11101,6
11102,6
11103,6
11104,3
11105,3
11106,1
11108,3
11109,3
11110,5
11111,5
11112,3
11113,1
11114,2
11115,4
11116,3
11117,3
11118,1
11120,6
11121,5
11123,3
11124,3
11125,3
11126,1
11127,3
11128,1
11129,3
11130,3
11131,6
11132,3
11133,5
11135,1
11136,4
11137,6
11139,4
11140,3
11141,6
11142,3
11143,4
11144,6
11145,6
11146,1
11147,1
11151,3
11152,3
11153,3
11154,5
11155,3
11156,1
11157,6
11158,3
11160,1
11161,6
11162,1
11163,1
11164,6
11166,3
11167,4
11168,2
11169,1
11170,1
11171,4
11172,6
11173,3
11174,2
11175,4
11176,4
11177,6
11178,3
11180,1
11181,1
11182,3
11183,4
11184,3
11185,3
11186,3
11187,3
11188,3
11189,4
11190,3
11191,4
11192,5
11194,1
11195,6
11196,1
11197,3
11199,1
11200,3
11201,1
11202,6
11203,4
11204,3
11205,4
11206,1
11207,3
11208,2
11209,3
11210,3
11211,2
11212,4
11213,3
11214,6
11215,2
11216,1
11217,3
11218,4
11219,4
11220,1
11222,3
11223,3
11224,4
11226,1
11227,2
11228,3
11229,3
11230,2
11232,1
11234,6
11235,3
11236,5
11237,6
11238,1
11239,3
11240,3
11241,6
11243,3
11244,1
11245,4
11246,1
11247,1
11248,6
11249,2
11250,4
11251,1
11252,4
11253,5
11254,1
11255,6
11256,4
11257,3
11258,4
11259,1
11260,3
11262,5
11263,3
11264,5
11265,4
11266,3
11267,6
11268,3
11269,6
11270,2
11271,1
11272,3
11273,1
11274,3
11275,2
11276,1
11277,3
11278,6
11279,6
11280,4
11281,3
11282,3
11283,3
11284,4
11285,3
11286,4
11287,3
11288,5
11289,4
11290,3
11291,1
11293,5
11294,4
11296,6
11297,3
11298,1
11299,3
11300,4
11301,5
11302,1
11303,5
11304,2
11305,3
11306,4
11307,6
11308,3
11309,5
11310,3
11311,1
11312,1
11313,6
11315,5
11316,3
11317,1
11318,4
11319,6
11320,1
11322,4
11323,5
11324,6
11325,6
11326,6
11327,2
11328,3
11329,5
11330,3
11331,1
11332,3
11334,2
11336,4
11337,3
11338,3
11339,3
11340,3
11341,3
11342,5
11343,1
11344,4
11345,3
11347,1
11348,5
11349,1
11351,3
11352,5
11353,3
11354,4
11355,3
11356,6
11357,3
11359,3
11360,5
11361,4
11362,3
11363,4
11365,3
11366,1
11367,3
11368,4
11369,5
11370,4
11371,4
11372,6
11373,4
11374,6
11375,6
11376,5
11377,5
11378,5
11379,5
11380,6
11381,1
11382,5
11383,5
11384,3
11385,4
11386,3
11387,3
11388,3
11389,3
11390,4
11391,1
11392,4
11393,1
11394,3
11395,4
11396,5
11397,5
11398,5
11399,4
11401,3
11404,3
11405,3
11406,6
11408,3
11410,4
11411,6
11412,4
11413,1
11414,3
11415,3
11416,4
11417,5
11418,5
11419,4
11420,2
11421,3
11422,1
11423,4
11424,4
11425,6
11426,1
11427,3
11428,3
11429,1
11430,1
11431,4
11432,1
11433,4
11434,6
11435,1
11436,3
11437,1
11439,1
11440,4
11441,4
11442,6
11444,1
11445,1
11446,6
11447,5
11448,5
11450,3
11451,4
11452,5
11453,3
11454,1
11455,6
11456,3
11457,5
11458,3
11459,3
11460,3
11461,6
11462,5
11463,4
11464,1
11465,6
11466,3
11467,3
11468,1
11469,4
11471,4
11472,3
11473,1
11474,3
11475,6
11476,6
11477,5
11478,3
11479,5
11480,3
11481,1
11483,3
11484,3
11486,3
11487,5
11488,6
11489,4
11490,6
11491,3
11493,6
11494,6
11495,2
11496,3
11499,4
11500,1
11501,6
11502,6
11503,1
11504,5
11505,6
11506,1
11507,3
11508,3
11509,3
11510,3
11511,5
11512,4
11513,3
11514,1
11515,1
11516,3
11517,4
11518,3
11519,4
11520,3
11521,2
11522,1
11524,1
11525,5
11527,6
11528,1
11529,1
11530,4
11531,2
11532,3
11534,5
11535,1
11536,3
11538,3
11539,6
11540,3
11541,3
11543,3
11544,5
11545,1
11547,3
11548,6
11549,4
11550,1
11551,3
11552,6
11553,3
11554,6
11555,2
11557,6
11559,3
11560,5
11561,5
11562,3
11563,3
11564,6
11565,5
11566,6
11567,6
11569,5
11570,4
11571,3
11572,3
11573,3
11574,1
11575,6
11576,4
11577,6
11578,3
11579,4
11580,3
11581,3
11582,4
11583,5
11584,5
11585,1
11586,1
11587,3
11588,3
11589,3
11590,6
11591,6
11592,1
11593,4
11594,6
11595,1
11597,4
11598,1
11599,3
11600,3
11601,3
11602,3
11603,3
11604,5
11605,3
11606,2
11607,6
11608,6
11609,2
11610,4
11611,4
11612,3
11613,6
11614,4
11615,4
11616,1
11617,3
11619,6
11620,4
11621,3
11623,3
11624,3
11625,3
11626,5
11627,3
11628,6
11629,6
11630,1
11631,3
11632,3
11633,3
11634,4
11635,5
11636,2
11637,1
11638,6
11640,3
11641,2
11642,5
11643,3
11645,3
11646,3
11647,5
11649,2
11650,1
11651,6
11652,4
11653,6
11654,6
11656,6
11657,3
11658,1
11659,3
11660,6
11661,6
11662,3
11663,3
11665,3
11666,1
11667,4
11668,3
11669,6
11670,3
11671,4
11672,3
11674,6
11675,5
11676,6
11677,6
11678,4
11679,6
11680,4
11681,5
11682,3
11683,3
11684,1
11685,1
11686,3
11687,1
11688,1
11689,6
11690,6
11691,6
11692,3
11693,6
11694,6
11695,3
11696,4
11697,3
11698,3
11699,3
11700,3
11701,1
11702,3
11703,3
11704,5
11705,6
11706,4
11707,3
11708,6
11709,4
11710,5
11711,6
11712,1
11713,3
11714,5
11716,1
11717,3
11718,6
11719,3
11720,5
11721,3
11722,1
11723,3
11725,3
11726,4
11727,4
11728,3
11729,6
11730,4
11731,2
11732,5
11733,4
11734,5
11735,1
11736,3
11737,1
11739,3
11741,4
11742,2
11743,3
11745,3
11746,3
11747,3
11748,3
11749,5
11750,6
11751,1
11752,5
11753,3
11754,1
11755,1
11756,3
11757,5
11758,6
11760,6
11761,1
11762,4
11763,4
11764,3
11765,4
11767,3
11769,1
11771,6
11772,6
11774,4
11775,3
11776,3
11778,6
11779,6
11780,4
11781,3
11782,6
11783,3
11784,4
11786,6
11787,3
11788,3
11789,3
11790,3
11791,4
11792,6
11793,3
11794,4
11795,3
11796,3
11797,3
11799,5
11800,4
11801,1
11802,3
11803,1
11805,3
11806,1
11807,3
11808,3
11809,6
11810,3
11812,6
11813,3
11814,3
11815,1
11816,6
11817,4
11818,3
11819,1
11820,2
11821,5
11822,3
11823,3
11824,2
11825,3
11826,3
11827,5
11828,5
11829,6
11830,3
11831,6
11832,6
11833,3
11834,4
11835,5
11836,5
11837,5
11838,5
11839,2
11840,3
11841,4
11842,4
11843,3
11844,5
11845,3
11846,3
11847,3
11848,3
11849,2
11850,6
11851,4
11852,4
11853,5
11854,6
11855,1
11856,3
11857,3
11858,3
11859,1
11861,4
11862,3
11863,6
11865,6
11866,3
11867,3
11868,3
11869,3
11870,1
11871,5
11872,5
11873,6
11874,4
11875,4
11876,3
11877,3
11878,3
11879,3
11880,6
11881,2
11882,5
11884,3
11885,3
11887,3
11888,6
11889,3
11890,1
11891,3
11892,4
11893,6
11894,3
11896,6
11897,3
11898,6
11899,6
11900,3
11901,6
11902,3
11903,2
11904,3
11905,4
11906,4
11907,2
11908,1
11909,6
11910,1
11911,1
11912,3
11913,1
11914,1
11915,3
11916,6
11917,3
11918,1
11919,3
11920,4
11922,1
11923,4
11924,4
11925,3
11926,6
11927,3
11928,1
11929,3
11930,1
11932,4
11933,5
11934,6
11935,3
11937,3
11938,6
11939,3
11940,1
11941,1
11944,3
11946,1
11947,6
11948,4
11949,6
11950,5
11952,1
11953,3
11954,3
11955,6
11956,3
11957,5
11958,5
11959,5
11960,3
11961,5
11962,1
11963,5
11964,4
11965,4
11966,1
11967,2
11968,5
11969,6
11970,6
11971,3
11972,6
11973,5
11974,5
11975,4
11976,3
11979,6
11980,3
11981,4
11982,4
11983,1
11984,1
11985,6
11986,4
11987,2
11988,3
11989,3
11991,3
11992,6
11993,6
11994,4
11996,4
11998,1
11999,1
12000,3
12001,1
12002,3
12003,6
12004,2
12005,1
12006,4
12007,6
12008,4
12009,4
12011,5
12012,3
12013,5
12014,3
12015,3
12016,3
12017,4
12018,3
12019,6
12020,5
12021,1
12022,1
12023,5
12024,3
12025,3
12026,4
12027,3
12028,1
12029,5
12030,1
12031,3
12032,3
12033,4
12034,2
12035,4
12036,3
12037,3
12038,4
12039,3
12040,6
12041,6
12042,5
12043,1
12044,4
12046,3
12047,4
12048,2
12049,3
12050,3
12051,3
12052,6
12053,6
12056,4
12057,4
12058,6
12059,3
12060,4
12061,6
12062,3
12064,6
12065,5
12066,3
12067,3
12068,3
12069,3
12070,6
12072,1
12073,3
12074,3
12075,3
12076,4
12077,5
12078,6
12079,4
12080,4
12081,6
12082,3
12083,2
12084,4
12086,3
12087,3
12088,3
12089,4
12090,6
12091,3
12092,4
12093,5
12094,2
12095,1
12096,3
12097,1
12098,4
12099,4
12100,5
12101,5
12102,3
12103,1
12104,3
12105,6
12106,3
12107,3
12108,3
12109,5
12110,3
12111,6
12112,6
12113,6
12114,6
12115,6
12116,3
12117,5
12118,4
12119,4
12120,3
12121,6
12122,1
12123,6
12124,3
12125,3
12126,6
12127,3
12128,4
12129,5
12130,2
12131,4
12132,4
12133,3
12134,4
12135,3
12137,3
12138,3
12139,3
12140,5
12141,3
12142,3
12143,3
12144,3
12145,3
12146,5
12147,6
12149,6
12150,3
12151,5
12153,3
12154,3
12155,3
12156,4
12157,6
12159,2
12160,3
12161,4
12162,4
12163,5
12165,3
12166,5
12167,6
12168,4
12169,6
12170,6
12171,2
12172,6
12174,3
12175,3
12176,6
12177,3
12178,3
12180,1
12181,3
12182,4
12183,1
12184,2
12186,4
12187,6
12188,3
12189,3
12191,5
12192,3
12193,3
12194,3
12195,3
12196,3
12198,5
12199,3
12200,6
12201,6
12202,3
12204,5
12206,6
12207,3
12208,3
12209,3
12210,5
12211,3
12212,5
12213,3
12215,5
12216,3
12218,3
12219,3
12220,6
12221,2
12222,5
12223,4
12224,5
12226,1
12227,4
12228,3
12229,3
12230,4
12233,4
12234,4
12235,3
12236,3
12237,1
12238,1
12241,3
12242,3
12243,5
12244,2
12245,3
12246,3
12247,4
12248,5
12249,4
12250,6
12251,1
12252,6
12254,4
12255,5
12257,1
12259,3
12260,6
12261,3
12262,4
12263,1
12264,3
12265,4
12266,3
12267,5
12268,3
12269,5
12270,3
12271,6
12272,5
12273,2
12274,6
12275,3
12277,3
12278,3
12279,3
12280,3
12281,4
12282,1
12284,1
12286,3
12287,6
12288,3
12289,3
12291,3
12292,4
12293,3
12295,6
12296,1
12297,3
12298,3
12300,3
12301,3
12302,3
12303,4
12304,6
12305,4
12306,4
12307,6
12308,3
12309,1
12311,5
12312,2
12313,6
12314,6
12315,1
12316,1
12317,5
12318,3
12319,3
12320,3
12321,5
12322,6
12323,3
12324,2
12325,3
12326,3
12327,1
12328,4
12329,2
12330,6
12331,4
12332,3
12333,5
12334,3
12335,3
12336,5
12337,6
12338,6
12339,3
12340,3
12341,3
12342,4
12343,4
12345,1
12346,5
12347,4
12349,3
12350,3
12351,6
12352,3
12353,3
12354,4
12355,5
12358,1
12359,3
12360,3
12362,1
12363,1
12364,5
12365,3
12366,3
12367,6
12368,5
12369,3
12370,3
12371,6
12372,3
12373,6
12374,5
12375,4
12376,6
12377,1
12378,3
12379,2
12380,1
12381,3
12382,3
12383,3
12384,6
12385,3
12386,2
12387,1
12388,3
12390,4
12391,6
12392,4
12393,3
12394,1
12395,6
12396,5
12397,1
12398,3
12399,3
12400,6
12401,1
12402,2
12403,6
12404,4
12405,4
12406,6
12407,5
12408,3
12409,3
12410,4
12411,6
12412,3
12413,3
12414,4
12415,1
12416,6
12417,4
12418,5
12419,3
12420,5
12421,3
12423,4
12424,1
12425,3
12426,6
12427,2
12428,3
12429,2
12430,6
12431,3
12432,6
12433,2
12434,3
12435,3
12436,6
12437,3
12438,1
12439,4
12440,3
12441,3
12442,6
12443,3
12444,3
12445,5
12447,5
12449,6
12450,3
12451,3
12453,1
12454,4
12456,3
12457,3
12458,3
12459,1
12460,6
12461,1
12462,3
12463,3
12464,1
12465,1
12466,3
12467,6
12468,5
12469,4
12471,3
12472,3
12473,2
12474,2
12475,6
12477,1
12478,3
12479,1
12480,4
12481,6
12482,2
12484,3
12486,6
12487,1
12488,5
12489,4
12490,3
12491,6
12492,3
12493,4
12494,4
12495,3
12496,2
12497,4
12498,6
12499,5
12500,3
12501,4
12502,3
12503,3
12505,6
12506,4
12507,6
12508,3
12509,6
12510,6
12511,3
12512,1
12513,3
12514,1
12516,4
12517,4
12518,3
12520,3
12521,3
12523,5
12524,3
12525,1
12526,4
12527,1
12528,3
12529,3
12530,6
12531,4
12532,2
12533,1
12534,5
12535,4
12537,3
12538,6
12539,6
12540,3
12541,2
12542,3
12544,1
12545,6
12546,1
12547,4
12548,1
12549,6
12551,5
12552,6
12553,6
12554,3
12555,3
12556,3
12557,5
12558,3
12559,1
12560,4
12561,4
12562,3
12563,3
12564,3
12565,5
12566,2
12567,5
12568,3
12569,3
12570,3
12571,5
12572,3
12573,3
12574,3
12575,4
12577,1
12578,1
12579,3
12580,1
12581,3
12582,6
12583,3
12584,1
12585,3
12586,1
12587,5
12588,4
12590,3
12592,5
12593,5
12594,3
12595,3
12596,3
12597,5
12599,6
12600,1
12601,4
12602,2
12603,3
12605,5
12606,1
12607,3
12608,3
12609,1
12610,1
12611,2
12612,3
12613,4
12614,3
12615,3
12616,6
12617,5
12618,3
12619,6
12620,3
12621,6
12622,3
12623,6
12624,4
12625,5
12626,4
12627,3
12628,1
12629,4
12630,1
12631,3
12632,6
12633,1
12634,1
12635,3
12636,3
12637,6
12638,3
12639,6
12640,3
12641,6
12642,5
12643,2
12644,1
12645,6
12646,1
12647,3
12648,6
12649,4
12650,3
12651,3
12653,1
12654,5
12656,3
12657,4
12658,6
12659,3
12660,1
12661,1
12662,3
12663,3
12664,1
12665,3
12666,3
12667,3
12668,3
12669,3
12670,6
12671,3
12672,3
12673,4
12674,3
12675,2
12676,3
12677,3
12678,4
12680,3
12681,6
12682,6
12684,4
12685,2
12686,3
12687,3
12688,1
12689,1
12690,1
12691,6
12693,1
12694,3
12695,2
12697,4
12699,3
12700,3
12701,1
12702,5
12703,5
12704,3
12705,3
12706,3
12707,1
12708,1
12709,1
12710,3
12711,1
12713,3
12714,2
12715,6
12717,6
12718,5
12719,1
12720,3
12722,3
12724,4
12725,1
12726,6
12728,5
12729,3
12730,3
12731,3
12732,1
12733,3
12735,3
12736,3
12737,3
12739,4
12740,5
12741,5
12742,3
12743,4
12744,6
12745,6
12746,4
12747,4
12749,2
12750,5
12751,3
12752,2
12753,6
12754,6
12755,5
12756,5
12757,3
12758,3
12759,6
12760,3
12761,3
12762,3
12763,4
12764,2
12765,3
12766,4
12767,6
12768,4
12769,3
12771,5
12772,1
12773,3
12774,3
12775,3
12776,6
12777,6
12778,3
12779,3
12780,3
12781,3
12782,6
12783,1
12784,6
12785,4
12786,1
12787,3
12788,3
12789,4
12790,3
12791,1
12792,3
12794,3
12795,6
12798,1
12799,3
12800,2
12801,6
12802,4
12803,6
12804,6
12805,6
12806,3
12807,3
12808,3
12809,6
12810,3
12811,5
12812,3
12813,5
12814,3
12815,2
12816,4
12818,1
12819,3
12820,6
12821,6
12822,6
12823,3
12824,6
12825,1
12826,4
12828,6
12829,1
12830,3
12831,3
12832,4
12833,3
12835,4
12836,3
12837,1
12839,3
12840,6
12843,6
12844,4
12845,3
12846,6
12847,4
12848,3
12849,6
12850,3
12851,3
12852,3
12853,3
12854,6
12855,6
12856,3
12857,2
12858,2
12859,2
12860,1
12861,1
12862,1
12863,2
12864,5
12865,4
12866,6
12867,3
12868,3
12869,3
12870,2
12871,4
12872,3
12873,3
12874,4
12875,3
12876,6
12877,6
12878,3
12879,3
12880,3
12881,3
12882,1
12883,6
12884,3
12885,3
12886,5
12887,3
12888,3
12889,3
12890,3
12893,3
12894,4
12895,3
12896,5
12897,3
12898,3
12899,5
12900,3
12901,2
12902,5
12903,1
12904,1
12906,4
12907,3
12908,4
12909,5
12910,4
12911,3
12912,4
12913,3
12914,2
12915,1
12917,1
12918,6
12919,3
12920,3
12921,4
12923,6
12924,5
12925,6
12926,1
12927,3
12929,2
12930,4
12931,1
12932,1
12933,6
12934,1
12935,3
12936,3
12937,6
12938,3
12939,6
12940,2
12941,3
12942,1
12943,6
12944,2
12945,3
12946,2
12947,6
12948,4
12950,6
12951,3
12952,6
12953,4
12954,4
12955,1
12956,5
12957,3
12958,4
12959,4
12960,3
12962,6
12963,4
12964,3
12965,3
12966,4
12967,1
12968,6
12969,1
12970,6
12971,3
12972,6
12973,4
12974,1
12975,3
12976,3
12977,6
12979,4
12980,6
12981,3
12983,4
12984,6
12985,5
12986,3
12987,1
12988,4
12989,4
12990,1
12991,4
12992,3
12993,1
12994,4
12995,3
12996,3
12997,1
12998,5
12999,1
13000,3
13001,6
13002,3
13003,3
13004,2
13005,3
13006,6
13007,4
13008,6
13009,1
13010,5
13011,1
13012,4
13013,3
13014,1
13015,3
13016,1
13017,4
13020,4
13021,1
13022,6
13023,4
13024,3
13025,1
13026,3
13027,6
13028,5
13029,6
13030,4
13031,4
13032,3
13035,3
13037,3
13038,3
13039,3
13040,4
13042,3
13043,3
13044,3
13045,6
13046,3
13047,4
13048,2
13049,5
13050,6
13052,5
13053,3
13055,3
13057,3
13058,6
13059,5
13060,3
13062,6
13063,5
13065,1
13066,3
13067,4
13068,6
13070,3
13072,4
13073,3
13074,2
13075,6
13076,6
13077,6
13078,3
13079,5
13080,1
13081,5
13083,3
13084,1
13085,3
13086,4
13087,6
13088,1
13089,1
13090,3
13091,5
13092,6
13093,3
13094,5
